Номер;Дата підписання;Кількість;Рік;Назва угоди;галузь;місто;чинність;рік припинення;КОРОТКИЙ ЗМІСТ;Наявність на сайті ВР;Сфера дії договору;Загальна сфеа;Посилання на закон;темін припинення;актуальність;Рівень договоу;Тип договору;
;07.09.1994;12;1995;Угода між Урядом України і Урядом РФ про співробітництво в розвитку паливно-енергетичних комплексів від 07.09.94;взаємні поставки паливно-енергетичих ресурсів ;Москва;чинний;;"сторони на   основі   взаємної   вигоди,   взаємодопомоги   і 
недопущення дій,  що  наносять  економічний  збиток  один  одному, 
будуть     усіляко    розвивати    співробітництво    в    галузях 
паливно-енергетичних комплексів.сторони на   основі   взаємної   вигоди,   взаємодопомоги   і 
недопущення дій,  що  наносять  економічний  збиток  один  одному, 
будуть     усіляко    розвивати    співробітництво    в    галузях 
паливно-енергетичних комплексів.сторони на   основі   взаємної   вигоди,   взаємодопомоги   і 
недопущення дій,  що  наносять  економічний  збиток  один  одному, 
будуть     усіляко    розвивати    співробітництво    в    галузях 
паливно-енергетичних комплексів.сторони на   основі   взаємної   вигоди,   взаємодопомоги   і 
недопущення дій,  що  наносять  економічний  збиток  один  одному, 
будуть     усіляко    розвивати    співробітництво    в    галузях 
паливно-енергетичних комплексів.сторони на   основі   взаємної   вигоди,   взаємодопомоги   і 
недопущення дій,  що  наносять  економічний  збиток  один  одному, 
будуть     усіляко    розвивати    співробітництво    в    галузях 
паливно-енергетичних комплексів.сторони на   основі   взаємної   вигоди,   взаємодопомоги   і 
недопущення дій,  що  наносять  економічний  збиток  один  одному, 
будуть     усіляко    розвивати    співробітництво    в    галузях 
паливно-енергетичних комплексів.";;паливно-енергетична галузь;нафто-газова промисловість;http://zakon.rada.gov.ua/laws/show/643_106;безстроково з шестимісячним розриванням;актуальна;міжурядові;угода;
;09.06.1995;13;1995;Угода між Україною і РФ по Чорноморському флоту ;"розподіл суден  Чорноморського флоту відбувається у відношенні  18,3%  - Україні, 81,7% - Російській Федерації; ЧФ РФ дислокуєтьься в м.Севастополі, майно ЧФ розділяється порівну між Україною та РФ.";Сочі;чинний;;"Чф РФ використовує  об'єкти 
Чорноморського  флоту в м.  Севастополі  базування і 
місця дислокації корабельного складу,  авіації,  берегових військ, 
об'єктів    оперативного,    бойового,   технічного   і   тилового 
забезпечення в Криму.  РФ бере      участь      у     розвитку 
соціально-економічної сфери  м.  Севастополя  та  інших  населених 
пунктів,   де   дислокуватиметься  Чорноморський  флот  Російської 
ФедераціїЧф РФ використовує  об'єкти 
Чорноморського  флоту в м.  Севастополі  базування і 
місця дислокації корабельного складу,  авіації,  берегових військ, 
об'єктів    оперативного,    бойового,   технічного   і   тилового 
забезпечення в Криму.  РФ бере      участь      у     розвитку 
соціально-економічної сфери  м.  Севастополя  та  інших  населених 
пунктів,   де   дислокуватиметься  Чорноморський  флот  Російської 
ФедераціїЧф РФ використовує  об'єкти 
Чорноморського  флоту в м.  Севастополі  базування і 
місця дислокації корабельного складу,  авіації,  берегових військ, 
об'єктів    оперативного,    бойового,   технічного   і   тилового 
забезпечення в Криму.  РФ бере      участь      у     розвитку 
соціально-економічної сфери  м.  Севастополя  та  інших  населених 
пунктів,   де   дислокуватиметься  Чорноморський  флот  Російської 
ФедераціїЧф РФ використовує  об'єкти 
Чорноморського  флоту в м.  Севастополі  базування і 
місця дислокації корабельного складу,  авіації,  берегових військ, 
об'єктів    оперативного,    бойового,   технічного   і   тилового 
забезпечення в Криму.  РФ бере      участь      у     розвитку 
соціально-економічної сфери  м.  Севастополя  та  інших  населених 
пунктів,   де   дислокуватиметься  Чорноморський  флот  Російської 
ФедераціїЧф РФ використовує  об'єкти 
Чорноморського  флоту в м.  Севастополі  базування і 
місця дислокації корабельного складу,  авіації,  берегових військ, 
об'єктів    оперативного,    бойового,   технічного   і   тилового 
забезпечення в Криму.  РФ бере      участь      у     розвитку 
соціально-економічної сфери  м.  Севастополя  та  інших  населених 
пунктів,   де   дислокуватиметься  Чорноморський  флот  Російської 
ФедераціїЧф РФ використовує  об'єкти 
Чорноморського  флоту в м.  Севастополі  базування і 
місця дислокації корабельного складу,  авіації,  берегових військ, 
об'єктів    оперативного,    бойового,   технічного   і   тилового 
забезпечення в Криму.  РФ бере      участь      у     розвитку 
соціально-економічної сфери  м.  Севастополя  та  інших  населених 
пунктів,   де   дислокуватиметься  Чорноморський  флот  Російської 
Федерації";;Чорноморський флот;Чорноморський флот та Азовське море;http://zakon.rada.gov.ua/laws/show/643_082;не вказані умови розривання;неактуальна;міжнародні;угода;
;20.03.1995;14;1995;Угода між Урядом України і Урядом РФ про міжнародне автомобільне сполучення ;умови проїзду пасажирських та вантажних  автотранспортних засобів між обома державами та  транзитом по  їх  територіях;Київ;чинний;;"Відповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країнВідповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країнВідповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країнВідповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країнВідповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країнВідповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країн";;транспорт;переміщення через кордон;http://zakon.rada.gov.ua/laws/show/643_087;безстроково з шестимісячним розриванням;актуальна;міжурядові;угода;
;20.03.1995;15;1995;Протокол про застосування Угоди між Урядом України і Урядом РФ про міжнародне автомобільне сполучення від 21.03.95;автомобільні перевезення;Київ;чинний;;"Відповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країнВідповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країнВідповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країнВідповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країнВідповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країнВідповідно до цієї Угоди будуть здійснюватися регулярні  й 
нерегулярні перевезення пасажирів автобусами,  включаючи туристів, 
а   також   перевезення   вантажів   автотранспортними    засобами 
(вантажними  автомобілями  з  причепами  та напівпричепами або без 
них) між обома країнами та транзитом по їх  територіях  до  третіх 
країн";;транспорт;переміщення через кордон;http://search.ligazakon.ua/l_doc2.nsf/link1/MU95426.html;безстроково з шестимісячним розриванням;актуальна;міжурядові;протокол;
;26.07.1995;16;1995;Угода між Урядом України і Урядом РФ про співробітництво в галузі охорони навколишнього середовища від 26.07.95;сприяння покращенню охороги навколищнього середовища ;Москва;чинний;;"удосконалення природоохоронного законодавства;
     - здійснення  узгоджених  заходів,  спрямованих  на зменшення 
негативного впливу глобальних змін природного середовища і клімату 
на економіку і людину;
     - зниження  впливу  антропогенної  діяльності   на   природне 
середовище і клімат;
     - здійснення  спільної  діяльності   в   галузі   нормування, 
стандартизації,  метрології і сертифікації в охороні навколишнього 
середовища і використання природних ресурсів;удосконалення природоохоронного законодавства;
     - здійснення  узгоджених  заходів,  спрямованих  на зменшення 
негативного впливу глобальних змін природного середовища і клімату 
на економіку і людину;
     - зниження  впливу  антропогенної  діяльності   на   природне 
середовище і клімат;
     - здійснення  спільної  діяльності   в   галузі   нормування, 
стандартизації,  метрології і сертифікації в охороні навколишнього 
середовища і використання природних ресурсів;удосконалення природоохоронного законодавства;
     - здійснення  узгоджених  заходів,  спрямованих  на зменшення 
негативного впливу глобальних змін природного середовища і клімату 
на економіку і людину;
     - зниження  впливу  антропогенної  діяльності   на   природне 
середовище і клімат;
     - здійснення  спільної  діяльності   в   галузі   нормування, 
стандартизації,  метрології і сертифікації в охороні навколишнього 
середовища і використання природних ресурсів;удосконалення природоохоронного законодавства;
     - здійснення  узгоджених  заходів,  спрямованих  на зменшення 
негативного впливу глобальних змін природного середовища і клімату 
на економіку і людину;
     - зниження  впливу  антропогенної  діяльності   на   природне 
середовище і клімат;
     - здійснення  спільної  діяльності   в   галузі   нормування, 
стандартизації,  метрології і сертифікації в охороні навколишнього 
середовища і використання природних ресурсів;удосконалення природоохоронного законодавства;
     - здійснення  узгоджених  заходів,  спрямованих  на зменшення 
негативного впливу глобальних змін природного середовища і клімату 
на економіку і людину;
     - зниження  впливу  антропогенної  діяльності   на   природне 
середовище і клімат;
     - здійснення  спільної  діяльності   в   галузі   нормування, 
стандартизації,  метрології і сертифікації в охороні навколишнього 
середовища і використання природних ресурсів;удосконалення природоохоронного законодавства;
     - здійснення  узгоджених  заходів,  спрямованих  на зменшення 
негативного впливу глобальних змін природного середовища і клімату 
на економіку і людину;
     - зниження  впливу  антропогенної  діяльності   на   природне 
середовище і клімат;
     - здійснення  спільної  діяльності   в   галузі   нормування, 
стандартизації,  метрології і сертифікації в охороні навколишнього 
середовища і використання природних ресурсів;";;охорона навколишнього середовища;культурно-гуманітарна сфера;http://zakon.rada.gov.ua/laws/show/643_300;безстроково з річним терміном розривання;актуальна;міжурядові;угода;
;26.07.1995;17;1995;Протокол про консультації та співробітництво між МЗС України та МЗС РФ від 26.07.95.;"співпрація Міністерства Зовнішніх справ двох держав з 
міжнародних    питань,    які    становлять    взаємний   інтересспівпрація Міністерства Зовнішніх справ двох держав з 
міжнародних    питань,    які    становлять    взаємний   інтересспівпрація Міністерства Зовнішніх справ двох держав з 
міжнародних    питань,    які    становлять    взаємний   інтересспівпрація Міністерства Зовнішніх справ двох держав з 
міжнародних    питань,    які    становлять    взаємний   інтересспівпрація Міністерства Зовнішніх справ двох держав з 
міжнародних    питань,    які    становлять    взаємний   інтересспівпрація Міністерства Зовнішніх справ двох держав з 
міжнародних    питань,    які    становлять    взаємний   інтерес";Москва;чинний;;"Сторони проводитимуть       консультації       з       питань 
українсько-російських     відносин та міжнародних відносин,     розвитку    двостороннього співробітництва в  галузі  політики,  економіки, науково-технічних зв'язків,  екології,  гуманітарного співробітництва і культури,  а 
також з питань, пов'язаних з національними меншинамиСторони проводитимуть       консультації       з       питань 
українсько-російських     відносин та міжнародних відносин,     розвитку    двостороннього співробітництва в  галузі  політики,  економіки, науково-технічних зв'язків,  екології,  гуманітарного співробітництва і культури,  а 
також з питань, пов'язаних з національними меншинамиСторони проводитимуть       консультації       з       питань 
українсько-російських     відносин та міжнародних відносин,     розвитку    двостороннього співробітництва в  галузі  політики,  економіки, науково-технічних зв'язків,  екології,  гуманітарного співробітництва і культури,  а 
також з питань, пов'язаних з національними меншинамиСторони проводитимуть       консультації       з       питань 
українсько-російських     відносин та міжнародних відносин,     розвитку    двостороннього співробітництва в  галузі  політики,  економіки, науково-технічних зв'язків,  екології,  гуманітарного співробітництва і культури,  а 
також з питань, пов'язаних з національними меншинамиСторони проводитимуть       консультації       з       питань 
українсько-російських     відносин та міжнародних відносин,     розвитку    двостороннього співробітництва в  галузі  політики,  економіки, науково-технічних зв'язків,  екології,  гуманітарного співробітництва і культури,  а 
також з питань, пов'язаних з національними меншинамиСторони проводитимуть       консультації       з       питань 
українсько-російських     відносин та міжнародних відносин,     розвитку    двостороннього співробітництва в  галузі  політики,  економіки, науково-технічних зв'язків,  екології,  гуманітарного співробітництва і культури,  а 
також з питань, пов'язаних з національними меншинами";;міжнародна співпраця;міжнародні відносини;http://zakon.rada.gov.ua/laws/show/643_064;безстроково;актуальна;міжвідомчі;протокол;порушується
;26.07.1995;18;1995;Угода між Урядом України та Урядом РФ про основні принципи створення українсько- російських фінансово-промислових груп від 26.07.95;"створення  фінансово-промислових  груп 
на  базі  українських  і  російських  господарюючих  суб'єктів для 
встановлення і розвитку технологічних і коопераційних зв'язківстворення  фінансово-промислових  груп 
на  базі  українських  і  російських  господарюючих  суб'єктів для 
встановлення і розвитку технологічних і коопераційних зв'язківстворення  фінансово-промислових  груп 
на  базі  українських  і  російських  господарюючих  суб'єктів для 
встановлення і розвитку технологічних і коопераційних зв'язківстворення  фінансово-промислових  груп 
на  базі  українських  і  російських  господарюючих  суб'єктів для 
встановлення і розвитку технологічних і коопераційних зв'язківстворення  фінансово-промислових  груп 
на  базі  українських  і  російських  господарюючих  суб'єктів для 
встановлення і розвитку технологічних і коопераційних зв'язківстворення  фінансово-промислових  груп 
на  базі  українських  і  російських  господарюючих  суб'єктів для 
встановлення і розвитку технологічних і коопераційних зв'язків";Москва;чинний;;"Сторони вважають     найбільш     перспективним     створення 
фінансово-промислових груп в таких сферах діяльності:
     - пошук,  видобуток,  переробка, транспортування і реалізація 
паливно-енергетичних ресурсів;
     - проектування,  будівництво,  реконструкція  і  експлуатація 
газових транспортних трубопроводів;
     - виробництво феросплавів на марганцевій основі;
     - виробництво листової  сталі,  газопровідних  труб  великого 
діаметру   і   труб   нафтового   сортаменту   для   нафтодобувної 
промисловості;Сторони вважають     найбільш     перспективним     створення 
фінансово-промислових груп в таких сферах діяльності:
     - пошук,  видобуток,  переробка, транспортування і реалізація 
паливно-енергетичних ресурсів;
     - проектування,  будівництво,  реконструкція  і  експлуатація 
газових транспортних трубопроводів;
     - виробництво феросплавів на марганцевій основі;
     - виробництво листової  сталі,  газопровідних  труб  великого 
діаметру   і   труб   нафтового   сортаменту   для   нафтодобувної 
промисловості;Сторони вважають     найбільш     перспективним     створення 
фінансово-промислових груп в таких сферах діяльності:
     - пошук,  видобуток,  переробка, транспортування і реалізація 
паливно-енергетичних ресурсів;
     - проектування,  будівництво,  реконструкція  і  експлуатація 
газових транспортних трубопроводів;
     - виробництво феросплавів на марганцевій основі;
     - виробництво листової  сталі,  газопровідних  труб  великого 
діаметру   і   труб   нафтового   сортаменту   для   нафтодобувної 
промисловості;Сторони вважають     найбільш     перспективним     створення 
фінансово-промислових груп в таких сферах діяльності:
     - пошук,  видобуток,  переробка, транспортування і реалізація 
паливно-енергетичних ресурсів;
     - проектування,  будівництво,  реконструкція  і  експлуатація 
газових транспортних трубопроводів;
     - виробництво феросплавів на марганцевій основі;
     - виробництво листової  сталі,  газопровідних  труб  великого 
діаметру   і   труб   нафтового   сортаменту   для   нафтодобувної 
промисловості;Сторони вважають     найбільш     перспективним     створення 
фінансово-промислових груп в таких сферах діяльності:
     - пошук,  видобуток,  переробка, транспортування і реалізація 
паливно-енергетичних ресурсів;
     - проектування,  будівництво,  реконструкція  і  експлуатація 
газових транспортних трубопроводів;
     - виробництво феросплавів на марганцевій основі;
     - виробництво листової  сталі,  газопровідних  труб  великого 
діаметру   і   труб   нафтового   сортаменту   для   нафтодобувної 
промисловості;Сторони вважають     найбільш     перспективним     створення 
фінансово-промислових груп в таких сферах діяльності:
     - пошук,  видобуток,  переробка, транспортування і реалізація 
паливно-енергетичних ресурсів;
     - проектування,  будівництво,  реконструкція  і  експлуатація 
газових транспортних трубопроводів;
     - виробництво феросплавів на марганцевій основі;
     - виробництво листової  сталі,  газопровідних  труб  великого 
діаметру   і   труб   нафтового   сортаменту   для   нафтодобувної 
промисловості;";;фінансово-промислові групи;торгово-економічні відносини;http://zakon.rada.gov.ua/laws/show/643_141?lang=ru;безстроково з шестимісячним розриванням;неактуально;міжурядові;угода;
;26.07.1995;19;1995;Угода між Урядом України і Урядом РФ про співробітництво в галузі культури, науки і освіти ;розвитку  культурних  зв'язків, культурного   обміну  і  співробітництва  в  галузі  театрального, образотворчого,  естрадного  і циркового мистецтва та інше;Москва;чинний;;"розвитку співробітництва в галузі  культури,  науки,  освіти, 
інформації і спорту,  в тому числі між громадськими організаціями, 
творчими спілками, асоціаціями і фондами;     ознайомленню з культурою іншої Сторони і, зокрема, з великими зібраннями  і  колекціями  культурних   цінностей,   що   склалися історично;
     взаємному доступу  до  державних  бібліотечних,  архівних   і 
музейних  фондів  України і Російської Федерації для громадян обох 
держав на однакових умовах і використанню цих фондів в культурних, 
наукових і освітніх ціляхрозвитку співробітництва в галузі  культури,  науки,  освіти, 
інформації і спорту,  в тому числі між громадськими організаціями, 
творчими спілками, асоціаціями і фондами;     ознайомленню з культурою іншої Сторони і, зокрема, з великими зібраннями  і  колекціями  культурних   цінностей,   що   склалися історично;
     взаємному доступу  до  державних  бібліотечних,  архівних   і 
музейних  фондів  України і Російської Федерації для громадян обох 
держав на однакових умовах і використанню цих фондів в культурних, 
наукових і освітніх ціляхрозвитку співробітництва в галузі  культури,  науки,  освіти, 
інформації і спорту,  в тому числі між громадськими організаціями, 
творчими спілками, асоціаціями і фондами;     ознайомленню з культурою іншої Сторони і, зокрема, з великими зібраннями  і  колекціями  культурних   цінностей,   що   склалися історично;
     взаємному доступу  до  державних  бібліотечних,  архівних   і 
музейних  фондів  України і Російської Федерації для громадян обох 
держав на однакових умовах і використанню цих фондів в культурних, 
наукових і освітніх ціляхрозвитку співробітництва в галузі  культури,  науки,  освіти, 
інформації і спорту,  в тому числі між громадськими організаціями, 
творчими спілками, асоціаціями і фондами;     ознайомленню з культурою іншої Сторони і, зокрема, з великими зібраннями  і  колекціями  культурних   цінностей,   що   склалися історично;
     взаємному доступу  до  державних  бібліотечних,  архівних   і 
музейних  фондів  України і Російської Федерації для громадян обох 
держав на однакових умовах і використанню цих фондів в культурних, 
наукових і освітніх ціляхрозвитку співробітництва в галузі  культури,  науки,  освіти, 
інформації і спорту,  в тому числі між громадськими організаціями, 
творчими спілками, асоціаціями і фондами;     ознайомленню з культурою іншої Сторони і, зокрема, з великими зібраннями  і  колекціями  культурних   цінностей,   що   склалися історично;
     взаємному доступу  до  державних  бібліотечних,  архівних   і 
музейних  фондів  України і Російської Федерації для громадян обох 
держав на однакових умовах і використанню цих фондів в культурних, 
наукових і освітніх ціляхрозвитку співробітництва в галузі  культури,  науки,  освіти, 
інформації і спорту,  в тому числі між громадськими організаціями, 
творчими спілками, асоціаціями і фондами;     ознайомленню з культурою іншої Сторони і, зокрема, з великими зібраннями  і  колекціями  культурних   цінностей,   що   склалися історично;
     взаємному доступу  до  державних  бібліотечних,  архівних   і 
музейних  фондів  України і Російської Федерації для громадян обох 
держав на однакових умовах і використанню цих фондів в культурних, 
наукових і освітніх цілях";;культурно-гуманітарній сфера;культурно-гуманітарна сфера;http://zakon.rada.gov.ua/laws/show/643_063;5 років з шестимісячним розриванням;актуально;міжурядові;угода;
;13.11.1995;20;1995;Консульська конвенція між Україною і РФ від 15.01.93.;"
консульські відносини між обома державами
консульські відносини між обома державами
консульські відносини між обома державами
консульські відносини між обома державами
консульські відносини між обома державами
консульські відносини між обома державами";Москва;чиний;;врегулювання консульських відносн між країнами;;міжнародна співпраця;міжнародні відносини;http://zakon.rada.gov.ua/laws/show/643_038;безстроково з шестимісячним розриванням;актуально;міжнародні;консульська;
?;29.03.1996;21;1996;"Протокол робочої зустрічі керівного складу Міністерства оборони України і делегації Міністерства оборони РФ (28-29 березня 1996 року, м.Стрий) від 29.03.96.
 
Протокол робочої зустрічі керівного складу Міністерства оборони України і делегації Міністерства оборони РФ (28-29 березня 1996 року, м.Стрий) від 29.03.96.
 
Протокол робочої зустрічі керівного складу Міністерства оборони України і делегації Міністерства оборони РФ (28-29 березня 1996 року, м.Стрий) від 29.03.96.
 
Протокол робочої зустрічі керівного складу Міністерства оборони України і делегації Міністерства оборони РФ (28-29 березня 1996 року, м.Стрий) від 29.03.96.
 
Протокол робочої зустрічі керівного складу Міністерства оборони України і делегації Міністерства оборони РФ (28-29 березня 1996 року, м.Стрий) від 29.03.96.
 
Протокол робочої зустрічі керівного складу Міністерства оборони України і делегації Міністерства оборони РФ (28-29 березня 1996 року, м.Стрий) від 29.03.96.
 
";;;немає в базі;;;немає;оборона;оборона;;;;міжвідомчі;протокол;
