№,Номер,Дата підписання,Кількість документів ,Рік,Назва угоди,ціль,місто,чинність,рік припинення,КОРОТКИЙ ЗМІСТ,Наявність на сайті ВР,Сфера дії договору,галузь,Загальна сфеа,Код ,Код 2,Посилання на закон,темін припинення,актуальність,виконання,Рівень договоу,Тип договору,З якою угодою пов'язана з цієї бази,З якою угодою пов'язана з цієї бази,З якою угодою пов'язана з цієї бази,
41,643_039,15.01.1993,9,1993,"Угода між Урядом України і Урядом РФ про заходи по врегулюванню взаємної заборгованості господарських організацій за продукцію, що поставлена до 1 січня 1993 року, і організації розрахунків за продукцію, що централізовано закупається в 1993 р. від 15.01.93.",погашення боргових заборгованостей за рахунок обміну продукції енергоносії за машинобудування і сг,Москва,чинний,,"погашення державними підприємствами та організаціями Російської Федерації та України взаємної заборгованості за фактично отриману продукцію, що числиться на їхніх балансах станом на 1 січня 1993 р., визначивши при цьому джерела та порядок здійснення оплати.",,боргові зобов'язання,погашення боргових заборгованостей за рахунок обміну продукції енергоносії за машинобудування і сг,заборгованості,5,5,http://zakon3.rada.gov.ua/laws/show/643_039?lang=ru,не вказані умови розривання,неактуальні,виконано,міжурядові,угода,643_027 ,,,
42, 643_037,15.01.1993,10,1993,Угода між Україною і РФ про взаємне визнання прав і регулювання відносин власності від  15.01.93.,"перехід у власність майна  підприємств, установ, організацій колишнього союзного підпорядкування , розташованих на території сторони",Москва,чинний,," створення правових   норм,  які запобігають взаємним претензіям і гарантують захист прав власності Сторін, їх громадян і юридичних осіб",,право власності,"перехід у власність майна  підприємств, установ, організацій колишнього союзного підпорядкування , розташованих на території сторони",правове регулювання,9,9,http://zakon.rada.gov.ua/laws/show/643_037,не вказані умови розривання,актуальні,виконується,міжнародні,угода,997_155 ,,,
43,643_115,16.01.1993,11,1993,Протокол про схему обслуговування боргу колишнього СРСР Україною і Росією від 16.01.93.,боргові зобовязання за зовнішні активи СРСР,Москва,чинний,,"Україна та Росія будуть окремо відповідальні за 
обслуговування зовнішнього боргу колишнього СРСРУкраїна та Росія будуть окремо відповідальні за 
обслуговування зовнішнього боргу колишнього СРСРУкраїна та Росія будуть окремо відповідальні за 
обслуговування зовнішнього боргу колишнього СРСРУкраїна та Росія будуть окремо відповідальні за 
обслуговування зовнішнього боргу колишнього СРСРУкраїна та Росія будуть окремо відповідальні за 
обслуговування зовнішнього боргу колишнього СРСРУкраїна та Росія будуть окремо відповідальні за 
обслуговування зовнішнього боргу колишнього СРСРУкраїна та Росія будуть окремо відповідальні за 
обслуговування зовнішнього боргу колишнього СРСР",,боргові/кредитні зобов'язання,боргові зобовязання за зовнішні активи СРСР,заборгованості,5,5,http://zakon.rada.gov.ua/laws/show/643_115,не вказані умови розривання,неактуальні,невиконано,міжнародні,протокол,,,,
44,643_289,05.02.1993,12,1993,Угода про порядок використання технічного кредиту і організації розрахунків за  що централізовано закупається в 1993 році від 05.02.93,технічний кредит Україні у сумі до 250 мільярдів карбованців ,Москва,поточна редакція,,"використання кредиту  буде  здійснюватися   виключно   шляхом 
сплати  платіжних  доручень  Національного  банку  України  з його кореспондентського  рахункувикористання кредиту  буде  здійснюватися   виключно   шляхом 
сплати  платіжних  доручень  Національного  банку  України  з його кореспондентського  рахункувикористання кредиту  буде  здійснюватися   виключно   шляхом 
сплати  платіжних  доручень  Національного  банку  України  з його кореспондентського  рахункувикористання кредиту  буде  здійснюватися   виключно   шляхом 
сплати  платіжних  доручень  Національного  банку  України  з його кореспондентського  рахункувикористання кредиту  буде  здійснюватися   виключно   шляхом 
сплати  платіжних  доручень  Національного  банку  України  з його кореспондентського  рахункувикористання кредиту  буде  здійснюватися   виключно   шляхом 
сплати  платіжних  доручень  Національного  банку  України  з його кореспондентського  рахункувикористання кредиту  буде  здійснюватися   виключно   шляхом 
сплати  платіжних  доручень  Національного  банку  України  з його кореспондентського  рахунку",,технічний кредит,технічний кредит Україні у сумі до 250 мільярдів карбованців ,заборгованості,5,5,http://zakon.rada.gov.ua/rada/show/643_289,не вказані умови розривання,неактуальні,виконано,міжнародні,угода,643_039,,,
45,643_287,08.02.1993,13,1993,Угода між Урядом України і Урядом РФ про принципи співробітництва в галузі виробництва і поставок авіаційної техніки  від 08.02.93,"cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки ",Москва,чинний,,"сприяти  збереженню  і  розвитку кооперованих 
галузей і міжгалузевих зв'язків в галузі  науково-дослідницьких  і 
дослідно-конструкторських    робіт,    авторського   супроводження 
розробок,   поставок   сировини,   матеріалів,    напівфабрикатів, 
комплектуючих  виробівсприяти  збереженню  і  розвитку кооперованих 
галузей і міжгалузевих зв'язків в галузі  науково-дослідницьких  і 
дослідно-конструкторських    робіт,    авторського   супроводження 
розробок,   поставок   сировини,   матеріалів,    напівфабрикатів, 
комплектуючих  виробівсприяти  збереженню  і  розвитку кооперованих 
галузей і міжгалузевих зв'язків в галузі  науково-дослідницьких  і 
дослідно-конструкторських    робіт,    авторського   супроводження 
розробок,   поставок   сировини,   матеріалів,    напівфабрикатів, 
комплектуючих  виробівсприяти  збереженню  і  розвитку кооперованих 
галузей і міжгалузевих зв'язків в галузі  науково-дослідницьких  і 
дослідно-конструкторських    робіт,    авторського   супроводження 
розробок,   поставок   сировини,   матеріалів,    напівфабрикатів, 
комплектуючих  виробівсприяти  збереженню  і  розвитку кооперованих 
галузей і міжгалузевих зв'язків в галузі  науково-дослідницьких  і 
дослідно-конструкторських    робіт,    авторського   супроводження 
розробок,   поставок   сировини,   матеріалів,    напівфабрикатів, 
комплектуючих  виробівсприяти  збереженню  і  розвитку кооперованих 
галузей і міжгалузевих зв'язків в галузі  науково-дослідницьких  і 
дослідно-конструкторських    робіт,    авторського   супроводження 
розробок,   поставок   сировини,   матеріалів,    напівфабрикатів, 
комплектуючих  виробівсприяти  збереженню  і  розвитку кооперованих 
галузей і міжгалузевих зв'язків в галузі  науково-дослідницьких  і 
дослідно-конструкторських    робіт,    авторського   супроводження 
розробок,   поставок   сировини,   матеріалів,    напівфабрикатів, 
комплектуючих  виробів",,авіація та повітряна оборона,"cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки cпівробітництво між підприємствами та організаціями України і 
Росії,  які беруть участь  в  розробці  і  виробництві  авіаційної 
техніки ",авіація,4,4,http://zakon.rada.gov.ua/laws/show/643_287,безстрокова з трьома місяцями на розривання,актуальні,,міжурядові,угода,,,,
451,,04.03.1993,14,1993,Угоду між Україною та РФ про співробітництво СБ України та Служби зовнішньої розвідки РФ в розвідувальній діяльності від 4 березня 1993 року,,,припинений 2015,2015,,,,,оборона,6,-1,,,,,,,,,,
46,643_100,14.05.1993,15,1993,Угода між Урядом України і Радою Міністрів - Урядом РФ про координацію діяльності залізничного транспорту від 14.05.93,залізничне перевезення пасажирів і вантажів  із України в Росію і навпаки,Москва,чинний,," виготовлення і  утримання  рухомого складу, технічних засобів, забезпечення безпеки руху та збереження вантажів, організація перевізної роботи здійснюється по погоджених Сторонами нормативах",,залізничний транспорт,залізничне перевезення пасажирів і вантажів  із України в Росію і навпаки,прикордонні відносини,10,10,http://zakon.rada.gov.ua/laws/show/643_100,безстроково з трьохмісячним розриванням,актуальні,,міжурядові,угода,,,,
47,643_122,21.05.1993,16,1993,Угода між Генеральною прокуратурою України і прокуратурою Російської Федерації про правову допомогу і співробітництво від 21.05.93,правова допомога  прокуратур України і РФ,Москва,припинений 2010,2010,"надавати правову допомогу  і з інших питань прокурорської  діяльності, обмін досвідом роботи, статистичною інформацією,   методичними   розробками,   відомостями  про  чинне законодавство і  законопроекти,  що  розробляються,  у  підвищенні кваліфікації    працівників   прокуратур,   матеріально-технічному забезпеченні. 
надавати правову допомогу  і з інших питань прокурорської  діяльності, обмін досвідом роботи, статистичною інформацією,   методичними   розробками,   відомостями  про  чинне законодавство і  законопроекти,  що  розробляються,  у  підвищенні кваліфікації    працівників   прокуратур,   матеріально-технічному забезпеченні. 
надавати правову допомогу  і з інших питань прокурорської  діяльності, обмін досвідом роботи, статистичною інформацією,   методичними   розробками,   відомостями  про  чинне законодавство і  законопроекти,  що  розробляються,  у  підвищенні кваліфікації    працівників   прокуратур,   матеріально-технічному забезпеченні. 
надавати правову допомогу  і з інших питань прокурорської  діяльності, обмін досвідом роботи, статистичною інформацією,   методичними   розробками,   відомостями  про  чинне законодавство і  законопроекти,  що  розробляються,  у  підвищенні кваліфікації    працівників   прокуратур,   матеріально-технічному забезпеченні. 
надавати правову допомогу  і з інших питань прокурорської  діяльності, обмін досвідом роботи, статистичною інформацією,   методичними   розробками,   відомостями  про  чинне законодавство і  законопроекти,  що  розробляються,  у  підвищенні кваліфікації    працівників   прокуратур,   матеріально-технічному забезпеченні. 
надавати правову допомогу  і з інших питань прокурорської  діяльності, обмін досвідом роботи, статистичною інформацією,   методичними   розробками,   відомостями  про  чинне законодавство і  законопроекти,  що  розробляються,  у  підвищенні кваліфікації    працівників   прокуратур,   матеріально-технічному забезпеченні. 
",,законодавство,правова допомога  прокуратур України і РФ,правове регулювання,9,9,http://zakon.rada.gov.ua/laws/show/643_122,втратив чинність,неактуальні,,міжвідомчі,угода,,,,
48,643_041,26.05.1993,17,1993,Угода між Урядом України та Урядом РФ про державний кредит за результатами торгово-економічних відносин у 1992-1993 роках від 26.05.93,РФ переформляє заборгованість в  державний кредит з терміном погашення  1999 року,Москва,редакція ,1997,"переоформлюють в державний кредит заборгованості в сумі 1050
млрд. рублів, що утворилася в зв'язку з отриманням Української
Стороною технічних (платіжних) кредитів за кореспондентськими
рахунках Національного банку України в Центральному банку Російської
Федераціїпереоформлюють в державний кредит заборгованості в сумі 1050
млрд. рублів, що утворилася в зв'язку з отриманням Української
Стороною технічних (платіжних) кредитів за кореспондентськими
рахунках Національного банку України в Центральному банку Російської
Федераціїпереоформлюють в державний кредит заборгованості в сумі 1050
млрд. рублів, що утворилася в зв'язку з отриманням Української
Стороною технічних (платіжних) кредитів за кореспондентськими
рахунках Національного банку України в Центральному банку Російської
Федераціїпереоформлюють в державний кредит заборгованості в сумі 1050
млрд. рублів, що утворилася в зв'язку з отриманням Української
Стороною технічних (платіжних) кредитів за кореспондентськими
рахунках Національного банку України в Центральному банку Російської
Федераціїпереоформлюють в державний кредит заборгованості в сумі 1050
млрд. рублів, що утворилася в зв'язку з отриманням Української
Стороною технічних (платіжних) кредитів за кореспондентськими
рахунках Національного банку України в Центральному банку Російської
Федераціїпереоформлюють в державний кредит заборгованості в сумі 1050
млрд. рублів, що утворилася в зв'язку з отриманням Української
Стороною технічних (платіжних) кредитів за кореспондентськими
рахунках Національного банку України в Центральному банку Російської
Федерації",,боргові зобов'язання,РФ переформляє заборгованість в  державний кредит з терміном погашення  1999 року,заборгованості,5,5,http://zakon.rada.gov.ua/laws/show/643_041/sp:wide-,до дати виконаня умов,неактуальні,,міжурядові,угода,,,,
49, 643_044,26.05.1993,18,1993,"Угода між Урядом України і Урядом РФ про порядок поставок дорогоцінних металів та алмазів, їх брухту та відходів, як давальницької сировини в 1993 році",,Київ,чинний,,"поставка давальницьких матеріалів,  що  вміщують  дорогоцінні метали,  а  також дорогоцінне каміння  здійснюється  на  основі 
прямих договорів.поставка давальницьких матеріалів,  що  вміщують  дорогоцінні метали,  а  також дорогоцінне каміння  здійснюється  на  основі 
прямих договорів.поставка давальницьких матеріалів,  що  вміщують  дорогоцінні метали,  а  також дорогоцінне каміння  здійснюється  на  основі 
прямих договорів.поставка давальницьких матеріалів,  що  вміщують  дорогоцінні метали,  а  також дорогоцінне каміння  здійснюється  на  основі 
прямих договорів.поставка давальницьких матеріалів,  що  вміщують  дорогоцінні метали,  а  також дорогоцінне каміння  здійснюється  на  основі 
прямих договорів.поставка давальницьких матеріалів,  що  вміщують  дорогоцінні метали,  а  також дорогоцінне каміння  здійснюється  на  основі 
прямих договорів.",,,,торгово-економічні відносини,10,10,https://zakon.rada.gov.ua/laws/show/643_044,до кінця 1993 року,неактуальні,виконано,міжурядові,угода,,,,
50, 643_042,26.05.1993,19,1993,Угода між Урядом України і Урядом РФ про поставку в 1993 році ювелірних алмазів ,,Київ,поточна редакція,,"Поставка ювелірних  алмазів  у кількості 252 тис.  каратів здійснюється  Акціонерною  компанією  ""Алмази  Росії  - Саха"",   з оплатою в доларах США  або  іншій  вільно конвертованій валюті  за 
цінами  світового ринку на день,  який передує виписуванню рахунка без врахування податку на добавлену вартістьПоставка ювелірних  алмазів  у кількості 252 тис.  каратів здійснюється  Акціонерною  компанією  ""Алмази  Росії  - Саха"",   з оплатою в доларах США  або  іншій  вільно конвертованій валюті  за 
цінами  світового ринку на день,  який передує виписуванню рахунка без врахування податку на добавлену вартістьПоставка ювелірних  алмазів  у кількості 252 тис.  каратів здійснюється  Акціонерною  компанією  ""Алмази  Росії  - Саха"",   з оплатою в доларах США  або  іншій  вільно конвертованій валюті  за 
цінами  світового ринку на день,  який передує виписуванню рахунка без врахування податку на добавлену вартістьПоставка ювелірних  алмазів  у кількості 252 тис.  каратів здійснюється  Акціонерною  компанією  ""Алмази  Росії  - Саха"",   з оплатою в доларах США  або  іншій  вільно конвертованій валюті  за 
цінами  світового ринку на день,  який передує виписуванню рахунка без врахування податку на добавлену вартістьПоставка ювелірних  алмазів  у кількості 252 тис.  каратів здійснюється  Акціонерною  компанією  ""Алмази  Росії  - Саха"",   з оплатою в доларах США  або  іншій  вільно конвертованій валюті  за 
цінами  світового ринку на день,  який передує виписуванню рахунка без врахування податку на добавлену вартістьПоставка ювелірних  алмазів  у кількості 252 тис.  каратів здійснюється  Акціонерною  компанією  ""Алмази  Росії  - Саха"",   з оплатою в доларах США  або  іншій  вільно конвертованій валюті  за 
цінами  світового ринку на день,  який передує виписуванню рахунка без врахування податку на добавлену вартість",,,,торгово-економічні відносини,10,10,https://zakon.rada.gov.ua/laws/show/643_042,до кінця 1993 року,неактуальні,виконано,міжурядові,угода,,,,
51,643_045,26.05.1993,20,1993,"Угода між Урядом України і Урядом РФ про співробітництво в галузі зв’язку від 26.05.93.
 
Угода між Урядом України і Урядом РФ про співробітництво в галузі зв’язку від 26.05.93.
 
Угода між Урядом України і Урядом РФ про співробітництво в галузі зв’язку від 26.05.93.
 
Угода між Урядом України і Урядом РФ про співробітництво в галузі зв’язку від 26.05.93.
 
Угода між Урядом України і Урядом РФ про співробітництво в галузі зв’язку від 26.05.93.
 
Угода між Урядом України і Урядом РФ про співробітництво в галузі зв’язку від 26.05.93.
 
",створення взаємовигідних умов в галузі зв'язку,Київ,чинний,,відносини в галузі зв'язку відповідно до загальноприйнятих норм і принципів міжнародного права,,галузь зв'язку,створення взаємовигідних умов в галузі зв'язку,інформаційно-комунікаційна сфера,8,8,https://zakon.rada.gov.ua/laws/show/643_045,безстроково з трьохмісячним розриванням,актуальні,порушується,міжурядові,угода,,,,звернути увагу
52,643_043,26.05.1993,21,1993,Угода між Урядом України та Урядом Російської Федерації про військово-технічне співробітництво,,Київ,припинений 2015,2015,"збереження та  розвиток кооперованих зв'язків,  що склалися, при розробці та виробництві військової продукції;здійснення взаємних поставок військової продукції, надання послуг військового призначення.",,,,оборона,6,6,https://zakon.rada.gov.ua/laws/show/643_043,безстроково з шестимісячним розриванням,актуальні,порушується,міжурядові,угода, 643_025,,,
53,643_041,26.05.1993,22,1993,Угода між Урядом України і Урядом РФ про державний кредит за результатами торгово- економічних відносин в 1992-1993 роках від 26.05.93,Кредитні зобов'язання України з врахуванням спільних торго-економічних операцій,Київ,редакція 1997,1997,"Українська Сторона зобов'язується щорічно виплачувати Російської
Стороні відсотки за кредит, які нараховуються на суму
доларового еквівалента заборгованості за ставкою Libor + 1Українська Сторона зобов'язується щорічно виплачувати Російської
Стороні відсотки за кредит, які нараховуються на суму
доларового еквівалента заборгованості за ставкою Libor + 1Українська Сторона зобов'язується щорічно виплачувати Російської
Стороні відсотки за кредит, які нараховуються на суму
доларового еквівалента заборгованості за ставкою Libor + 1Українська Сторона зобов'язується щорічно виплачувати Російської
Стороні відсотки за кредит, які нараховуються на суму
доларового еквівалента заборгованості за ставкою Libor + 1Українська Сторона зобов'язується щорічно виплачувати Російської
Стороні відсотки за кредит, які нараховуються на суму
доларового еквівалента заборгованості за ставкою Libor + 1Українська Сторона зобов'язується щорічно виплачувати Російської
Стороні відсотки за кредит, які нараховуються на суму
доларового еквівалента заборгованості за ставкою Libor + 1",,боргові/кредитні зобов'язання,Кредитні зобов'язання України з врахуванням спільних торго-економічних операцій,заборгованості,5,5,http://zakon.rada.gov.ua/laws/show/643_041,до дати виконаня умов,неактуальні,виконано,міжурядові,угода,643_901 ,,,
54,643_233,26.05.1993,23,1993,Угода між Урядом України і Урядом РФ про принципи і умови взаємовідносин в галузі транспорту від 26.05.93,взаємовигідні умови перевезення пасажирів та вантажів між державами-учасницями,Київ,чинний,,"перевезення пасажирів та вантажів на території сторін звільнюються від податків і державних зборів  зв'язаних з володінням 
або використанням транспортних засобів,  а також податків і зборів 
на доходи і прибутки, що одержуються від перевезеньперевезення пасажирів та вантажів на території сторін звільнюються від податків і державних зборів  зв'язаних з володінням 
або використанням транспортних засобів,  а також податків і зборів 
на доходи і прибутки, що одержуються від перевезеньперевезення пасажирів та вантажів на території сторін звільнюються від податків і державних зборів  зв'язаних з володінням 
або використанням транспортних засобів,  а також податків і зборів 
на доходи і прибутки, що одержуються від перевезеньперевезення пасажирів та вантажів на території сторін звільнюються від податків і державних зборів  зв'язаних з володінням 
або використанням транспортних засобів,  а також податків і зборів 
на доходи і прибутки, що одержуються від перевезеньперевезення пасажирів та вантажів на території сторін звільнюються від податків і державних зборів  зв'язаних з володінням 
або використанням транспортних засобів,  а також податків і зборів 
на доходи і прибутки, що одержуються від перевезеньперевезення пасажирів та вантажів на території сторін звільнюються від податків і державних зборів  зв'язаних з володінням 
або використанням транспортних засобів,  а також податків і зборів 
на доходи і прибутки, що одержуються від перевезень",,логістичне сполучення,взаємовигідні умови перевезення пасажирів та вантажів між державами-учасницями,прикордонні відносини,10,10,http://zakon.rada.gov.ua/laws/show/643_233,безстроково з тьохмісячним розриванням,актуальні,виконано,міжурядові,угода,,.,,
55,643_040,24.06.1993,24,1993,Протокол реалізації Угоди між Урядом України та Урядом РФ про торгово-економічне співробітництво в 1993 році,,Москва,чинний,," Квоти  на постачання найважливіших видів продукції 
 експортерами України\РФ, списо взаємозв'язаних постачань.  Квоти  на постачання найважливіших видів продукції 
 експортерами України\РФ, списо взаємозв'язаних постачань.  Квоти  на постачання найважливіших видів продукції 
 експортерами України\РФ, списо взаємозв'язаних постачань.  Квоти  на постачання найважливіших видів продукції 
 експортерами України\РФ, списо взаємозв'язаних постачань.  Квоти  на постачання найважливіших видів продукції 
 експортерами України\РФ, списо взаємозв'язаних постачань.  Квоти  на постачання найважливіших видів продукції 
 експортерами України\РФ, списо взаємозв'язаних постачань. ",,,,торгово-економічні відносини,10,10,https://zakon.rada.gov.ua/laws/show/643_040,,неактуальні,виконано,міжнародні,протокол,643_177,,,
56,643_049,24.06.1993,25,1993,Угода між Урядом України та Урядом РФ про державний кредит на 1993 рік від 24.06.93.,РФ надала Україні державний кредит з терміном погашення  1996 року,Київ,чинний,," Уряд Російської  Федерації  надає  Уряду  України в 1993 році 
державний кредит в розмірі до 250 млрд. рублів для оплати поставок 
товарів і послуг із Російської Федерації  Уряд Російської  Федерації  надає  Уряду  України в 1993 році 
державний кредит в розмірі до 250 млрд. рублів для оплати поставок 
товарів і послуг із Російської Федерації  Уряд Російської  Федерації  надає  Уряду  України в 1993 році 
державний кредит в розмірі до 250 млрд. рублів для оплати поставок 
товарів і послуг із Російської Федерації  Уряд Російської  Федерації  надає  Уряду  України в 1993 році 
державний кредит в розмірі до 250 млрд. рублів для оплати поставок 
товарів і послуг із Російської Федерації  Уряд Російської  Федерації  надає  Уряду  України в 1993 році 
державний кредит в розмірі до 250 млрд. рублів для оплати поставок 
товарів і послуг із Російської Федерації  Уряд Російської  Федерації  надає  Уряду  України в 1993 році 
державний кредит в розмірі до 250 млрд. рублів для оплати поставок 
товарів і послуг із Російської Федерації ",,державний кредит,РФ надала Україні державний кредит з терміном погашення  1996 року,заборгованості,5,5,http://zakon.rada.gov.ua/laws/show/643_049,до дати виконаня умов,неактуальні,виконано,міжурядові,угода,,,,
57,643_996,24.06.1993,26,1993,"Угода між Урядом України і Урядом РФ про подальше співробітництво в забезпеченні розробки, спільного серійного виробництва та поставок в експлуатацію оперативно-тактичного військового літака Ан-70 і транспортного літака Ан-70Т з двигунами Д-27 від 24.06.93.",продовження  роботи  по  створенню  літаків  Ан-70 і  Ан-70Т,Москва,редакція 2009 ,2009,"Уряд України  через  свої  компетентні  установи  забезпечить 
розробку  та  організацію  серійного  виробництва  літаків  Ан-70, 
Ан-70Т,  двигуна  Д-27  та  комплектуючих виробів до них,  а також 
підготовку до сертифікації цих літаків та двигуна на підприємствах 
України. Уряд  Російської  Федерації  через  свої компетентні установи 
забезпечить  надання  технічного  сприяння  Українській  Стороні в 
розробці,  сертифікації  літаківУряд України  через  свої  компетентні  установи  забезпечить 
розробку  та  організацію  серійного  виробництва  літаків  Ан-70, 
Ан-70Т,  двигуна  Д-27  та  комплектуючих виробів до них,  а також 
підготовку до сертифікації цих літаків та двигуна на підприємствах 
України. Уряд  Російської  Федерації  через  свої компетентні установи 
забезпечить  надання  технічного  сприяння  Українській  Стороні в 
розробці,  сертифікації  літаківУряд України  через  свої  компетентні  установи  забезпечить 
розробку  та  організацію  серійного  виробництва  літаків  Ан-70, 
Ан-70Т,  двигуна  Д-27  та  комплектуючих виробів до них,  а також 
підготовку до сертифікації цих літаків та двигуна на підприємствах 
України. Уряд  Російської  Федерації  через  свої компетентні установи 
забезпечить  надання  технічного  сприяння  Українській  Стороні в 
розробці,  сертифікації  літаківУряд України  через  свої  компетентні  установи  забезпечить 
розробку  та  організацію  серійного  виробництва  літаків  Ан-70, 
Ан-70Т,  двигуна  Д-27  та  комплектуючих виробів до них,  а також 
підготовку до сертифікації цих літаків та двигуна на підприємствах 
України. Уряд  Російської  Федерації  через  свої компетентні установи 
забезпечить  надання  технічного  сприяння  Українській  Стороні в 
розробці,  сертифікації  літаківУряд України  через  свої  компетентні  установи  забезпечить 
розробку  та  організацію  серійного  виробництва  літаків  Ан-70, 
Ан-70Т,  двигуна  Д-27  та  комплектуючих виробів до них,  а також 
підготовку до сертифікації цих літаків та двигуна на підприємствах 
України. Уряд  Російської  Федерації  через  свої компетентні установи 
забезпечить  надання  технічного  сприяння  Українській  Стороні в 
розробці,  сертифікації  літаківУряд України  через  свої  компетентні  установи  забезпечить 
розробку  та  організацію  серійного  виробництва  літаків  Ан-70, 
Ан-70Т,  двигуна  Д-27  та  комплектуючих виробів до них,  а також 
підготовку до сертифікації цих літаків та двигуна на підприємствах 
України. Уряд  Російської  Федерації  через  свої компетентні установи 
забезпечить  надання  технічного  сприяння  Українській  Стороні в 
розробці,  сертифікації  літаків",,авіаційна промисловість,продовження  роботи  по  створенню  літаків  Ан-70 і  Ан-70Т,авіація,4,4,http://zakon.rada.gov.ua/laws/show/643_996,"на  весь  період  серійного   випуску 
літаків Ан-70 та Ан-70Тна  весь  період  серійного   випуску 
літаків Ан-70 та Ан-70Тна  весь  період  серійного   випуску 
літаків Ан-70 та Ан-70Тна  весь  період  серійного   випуску 
літаків Ан-70 та Ан-70Тна  весь  період  серійного   випуску 
літаків Ан-70 та Ан-70Тна  весь  період  серійного   випуску 
літаків Ан-70 та Ан-70Т",неактуальні,виконано,міжурядові,угода,,,,має бути припинена
